,sum_tfidf
stroller,4.310442088617212
auxiliary,116.44009686466802
pedal,57.26660957163737
double,3.3952590858996503
artifact,0.3893280999996249
trailer,4.060810458096857
radocie,17.67253345361871
butterfly,0.9265925927043166
patchwork,7.768396213687488
flower,9.542557459320689
animal,13185.148635355721
diy,15.949956761289066
quilting,8.914399480779785
sewing,7.28035939639353
accessory,2.105438133885033
plum,1.035747816145135
carrot,31.708418281125937
lentils,0.8741053117258091
cheddar,249.72188210534836
mingrui,1.4142135623730951
pet,34.46805482279485
suction,21.9592004329962
cup,8.079930103295254
hook,9.304979865307947
hangers,1.188830324795561
wall,2.402469927776844
convenient,237.6721094598026
economic,16.26732973856417
iron,1.5538437574328916
window,6.552046617958964
layopo,151.11969464180606
shatter,25.86777853017982
resistant,1.2818560150272496
pad,1.8293709735933603
protection,5.001609649640071
bumper,140.39856842237606
bed,1.4715731693109502
crib,5.374978171419865
braid,58.84032409672321
cushion,36.6119396104682
protector,1.9506411642857526
sneaker,1.9463262320320998
jumpsuit,55.45531026010886
overall,121.04078050938162
way,31.647008862139643
talk,2.3894160654260093
lullaby,283.02435136524673
rosemary,19.299712315816343
owl,1.8695546944097599
panda,88.59619851010119
style,8.871518765114686
hillow,175.4369522807185
polar,43.069468576621006
suitable,3.7569618864460272
polo,2.8596475333849702
popo,11.08516079727904
oto,4.871535381165813
penguin,27.20282882451356
epayst,12.898884237535931
silicone,1485.9419560578165
spoon,13.779684768818699
fresh,77.25135573579651
squeeze,19.29460197914446
feeder,110.7610939557173
car,26.727252079636582
filler,2.0309072591972197
civilian,39.95643263010405
princess,61.55484568690551
cloud,86.44861842355324
nordic,4.728215703538535
work,5.069159599702661
storage,24.489391590130428
basket,0.7070267323638337
home,4966.570239859296
finishing,13.974009112111334
quality,1.9118272257977376
inflatable,20.445627855992566
swimming,7.126542973533387
ring,1.9118272257977376
arm,13.974009112111334
band,24.894209810365027
float,92.92893233009154
petpet,11.450507932775203
tape,224.10837454311098
jumbo,4.0
useful,28.995543265146292
mother,0.9188389391881304
handbag,3.704309387709627
organizer,0.580885801945957
realeos,409.30716383414506
scooter,44.566572014388015
wheeled,70.38585670882698
balance,1.4070198470605941
clothe,55.80351407398732
batman,1.2160103230192536
costume,47.66961374552843
outfit,57.14806132838677
flash,55.436604806447804
doppl,11.205608133715645
prenatal,232.22891138650715
heart,0.4107199745194772
rate,7.120253056413825
heartbeat,67.75275849707657
detector,1.1056121144829103
japan,385.54376279482597
size,1.7102957490275597
merrie,510.69017142748817
grade,2.731858164043637
extra,684.1948254721658
wide,53.867924554897385
tommee,13.233306268770455
tippee,2.4441190501647694
liquid,91.72483285010631
nipple,10.559571353206225
essential,43.14215772461559
sweetie,0.887807791972689
belle,26.93966865763607
sponge,2.211941656497018
age,5.49757771049891
bike,3.323723814272338
wheel,1.7719276533041257
rock,0.44981674830635265
skeleton,97.15563151387191
hand,5.220040519928084
funny,0.4316002807547039
graphic,1.5690363014305064
adult,1.601431474456749
ear,13.155876958989948
forehead,8.925861377513895
non,25.900800370808913
contact,88.75782714863155
infrare,43.197891640378614
thermometer,5.864514947057732
temperature,0.31602063653197754
pureen,151.90988566985482
cleanser,80.91305171455464
noflavour,442.0029872726994
sleek,59.55134966508849
value,94.44106536897432
paraben,26.74930057446292
boys,14.626656069643529
prewalker,1668.763751070539
disposal,738.3647054113658
carry,62.98561485795436
legs,1.0476440410051802
donald,894.9852439147644
duck,0.49112139281071504
hood,181.01536163541365
